mp,id,date_filed,title,name,url,status,file_date,ICRF_80_MHz,ICRF_70_MHz,ICRF_50_MHz,Cryopump,DNB,rev_B,high_B,boronize_overnight,boronize_shots,comment,GUID
1444,009,7/14/93,Pellet Fueling Studies,G                             ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/009.pdf,Closed, 7/14/1993,,,,,,,,,,,{E6FB2E73-D951-E711-ABE8-0050568A3DF0}
1445,010,7/13/93,Transport in Ohmic Plasmas,G                             ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/010.pdf,Closed, 7/13/1993,,,,,,,,,,,{E7FB2E73-D951-E711-ABE8-0050568A3DF0}
1446,011,7/13/93,Investigation of the Effects of Rapid Gas Puffing,irby                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/011.pdf,Closed, 7/13/1993,,,,,,,,,,,{E8FB2E73-D951-E711-ABE8-0050568A3DF0}
1447,012,7/15/93,Operation with EF3 coils in series,wolfe                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/012.pdf,Closed, 7/15/1993,,,,,,,,,,,{E9FB2E73-D951-E711-ABE8-0050568A3DF0}
1448,013,7/16/93,Discharge development,wolfe                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/013.pdf,Closed, 7/16/1993,,,,,,,,,,,{EAFB2E73-D951-E711-ABE8-0050568A3DF0}
1449,014,7/14/93,ICRF Antenna Loading Studies,takase                        ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/014.pdf,Closed, 7/14/1993,,,,,,,,,,,{EBFB2E73-D951-E711-ABE8-0050568A3DF0}
1450,017,7/19/93,Laser Ablation Impurity Injection,graf,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/017.pdf,Closed, 7/19/1993,,,,,,,,,,,{ECFB2E73-D951-E711-ABE8-0050568A3DF0}
1451,019,7/22/93,Plasma current feedback control,goetz                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/019.pdf,Closed, 7/22/1993,,,,,,,,,,,{EDFB2E73-D951-E711-ABE8-0050568A3DF0}
1452,028,9/7/93,X-point Control of Diverted Plasmas,goetz                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/028.pdf,Closed, 9/7/1993,,,,,,,,,,,{EEFB2E73-D951-E711-ABE8-0050568A3DF0}
1453,038,2/22/94,Lithium Conditioning and Ohmic H Modes,snipes                        ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/038.pdf,Closed, 2/22/1994,,,,,,,,,,,{EFFB2E73-D951-E711-ABE8-0050568A3DF0}
1454,039,3/10/94,Effect of divertor geometry on detachment,blip                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/039.pdf,Closed, 3/10/1994,,,,,,,,,,,{F0FB2E73-D951-E711-ABE8-0050568A3DF0}
1455,040,4/4/94,Checking vertical alignment of ECE,hubbard                       ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/040.pdf,Closed, 4/4/1994,,,,,,,,,,,{F1FB2E73-D951-E711-ABE8-0050568A3DF0}
1456,042,4/6/94,Power Supply and Hybrid Dynamics Characterization.,tinios,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/042.pdf,Closed, 4/6/1994,,,,,,,,,,,{F2FB2E73-D951-E711-ABE8-0050568A3DF0}
1457,043,3/31/94,Effect of edge radiation on divertor detachment,mccracken                     ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/043.pdf,Closed, 3/31/1994,,,,,,,,,,,{F3FB2E73-D951-E711-ABE8-0050568A3DF0}
1458,044,3/31/94,Impurity transport and impurity sputtering in the divertor.,mccracken                     ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/044.pdf,Closed, 3/31/1994,,,,,,,,,,,{F4FB2E73-D951-E711-ABE8-0050568A3DF0}
1459,045,4/7/94,Cold Pulse Propagation,graf,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/045.pdf,Closed, 4/7/1994,,,,,,,,,,,{F5FB2E73-D951-E711-ABE8-0050568A3DF0}
1460,046,4/7/94,Ohmic Confinement,G                             ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/046.pdf,Closed, 4/7/1994,,,,,,,,,,,{F6FB2E73-D951-E711-ABE8-0050568A3DF0}
1461,047,4/7/94,Transport Studies with Strong ICRF Heating,G                             ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/047.pdf,Closed, 4/7/1994,,,,,,,,,,,{F7FB2E73-D951-E711-ABE8-0050568A3DF0}
1462,048,4/8/94,HIREX Troubleshooting,rice                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/048.pdf,Closed, 4/8/1994,,,,,,,,,,,{F8FB2E73-D951-E711-ABE8-0050568A3DF0}
1463,049,4/8/94,2D Neutral Density Profile Measurements by Charge Exchange Recombination,rice                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/049.pdf,Closed, 4/8/1994,,,,,,,,,,,{F9FB2E73-D951-E711-ABE8-0050568A3DF0}
1464,050,4/8/94,Trace Impurity Transport (Laser Ablation Impurity Injection),graf,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/050.pdf,Closed, 4/8/1994,,,,,,,,,,,{FAFB2E73-D951-E711-ABE8-0050568A3DF0}
1465,051,4/8/94,Constant Shots for Measuring the Emission Profiles of Molybdenum Ionization,terry                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/051.pdf,Closed, 4/8/1994,,,,,,,,,,,{FBFB2E73-D951-E711-ABE8-0050568A3DF0}
1466,053,4/8/94,Study of Closed Loop Response of Elongated Plasmas.,tinios,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/053.pdf,Closed, 4/8/1994,,,,,,,,,,,{FCFB2E73-D951-E711-ABE8-0050568A3DF0}
1467,055,5/13/94,Study of Core Particle Transport,luke,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/055.pdf,Closed, 5/13/1994,,,,,,,,,,,{FDFB2E73-D951-E711-ABE8-0050568A3DF0}
1468,056,5/23/94,Comparison of impurity screening between diverted and limited plasmas.,granetz                       ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/056.pdf,Closed, 5/23/1994,,,,,,,,,,,{FEFB2E73-D951-E711-ABE8-0050568A3DF0}
1469,057,5/26/94,Fix the OH2 supplies.,horne                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/057.pdf,Closed, 5/26/1994,,,,,,,,,,,{FFFB2E73-D951-E711-ABE8-0050568A3DF0}
1470,058,5/27/94,Pellet Injection Studies,G                             ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/058.pdf,Closed, 5/27/1994,,,,,,,,,,,{00FC2E73-D951-E711-ABE8-0050568A3DF0}
1471,061,6/13/94,Standard shot(s),fairfax                       ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/061.pdf,Closed, 6/13/1994,,,,,,,,,,,{01FC2E73-D951-E711-ABE8-0050568A3DF0}
1472,062,6/16/94,PCX Beast commissioning,boivin                        ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/062.pdf,Closed, 6/16/1994,,,,,,,,,,,{02FC2E73-D951-E711-ABE8-0050568A3DF0}
1473,063,6/20/94,High Pressure Calibration of Divertor Gauges,niemczewski,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/063.pdf,Closed, 6/20/1994,,,,,,,,,,,{03FC2E73-D951-E711-ABE8-0050568A3DF0}
1474,067,1/9/95,Plasma Radial Position Feedback to Maintain Constant Antenna Loading,takase                        ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/067.pdf,Closed, 1/9/1995,,,,,,,,,,,{04FC2E73-D951-E711-ABE8-0050568A3DF0}
1475,068a,11/28/94,Effect of plasma outer gap on divertor characteristics,blip                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/068a.pdf,Closed,11/28/1994,,,,,,,,,,,{05FC2E73-D951-E711-ABE8-0050568A3DF0}
1476,069a,11/13/94,Development of New Equilibria for Divertor Geometry Studies,blip                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/069a.pdf,Closed,11/13/1994,,,,,,,,,,,{06FC2E73-D951-E711-ABE8-0050568A3DF0}
1477,070,11/28/94,Discharge Development; increase SN elongation,horne                         ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/070.pdf,Closed,11/28/1994,,,,,,,,,,,{07FC2E73-D951-E711-ABE8-0050568A3DF0}
1478,071,12/29/94,Comparison of NINJA Fueling Locations and Puffing Rates in Identical         Plasmas,jablonski,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/071.pdf,Closed,12/29/1994,,,,,,,,,,,{08FC2E73-D951-E711-ABE8-0050568A3DF0}
1479,073a,1/20/95,Effect of RF heating on divertor detachment characteristics,blip                          ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/073a.pdf,Closed, 1/20/1995,,,,,,,,,,,{09FC2E73-D951-E711-ABE8-0050568A3DF0}
1480,074,12/30/94,Optimizing Ohmic H Modes at 5.3 T,snipes                        ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/074.pdf,Closed,12/30/1994,,,,,,,,,,,{0AFC2E73-D951-E711-ABE8-0050568A3DF0}
1481,075,1/8/94,\'q\' profile measurements using Lithium pellet ablation cloud imaging.,garnier                       ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/075.pdf,Closed, 1/8/1994,,,,,,,,,,,{0BFC2E73-D951-E711-ABE8-0050568A3DF0}
1482,076,1/12/95,Raise plasma current to 1.2 MA,granetz                       ,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/076.pdf,Closed, 1/12/1995,,,,,,,,,,,{0CFC2E73-D951-E711-ABE8-0050568A3DF0}
